"Name","DOI","pdf_link"
"HUI J 2006 J. BIOL. SYST.","10.1142/S0218339006001751","http://www.worldscientific.com/doi/pdf/10.1142/S0218339006001751"
"SPARROW LA 2006 SOIL USE MANAGE.","10.1111/J.1475-2743.2006.00021.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1475-2743.2006.00021.x"
"MONKIEDJE ADOLPHE 2006 J. ENVIRON. QUAL.","10.2134/JEQ2005.0447","https://dl.sciencesocieties.org/publications/jeq/pdfs/35/6/2402"
"ZHANG PINGJIU 2006 ENVIRON. GEOL.","10.1007/S00254-006-0356-4","http://www.springerlink.com/index/pdf/10.1007/s00254-006-0356-4"
"YU YUNLONG 2006 J. AGRIC. FOOD CHEM.","10.1021/JF0624190","http://pubs.acs.org/doi/pdf/10.1021/jf0624190"
"RIDLEY AM 2007 AUST. J. EXP. AGRIC.","10.1071/EA06028","http://www.publish.csiro.au/EA/pdf/EA06028"
"EDWARDS SUE 2007 NA","10.1007/978-3-540-72438-4\_29","http://www.springerlink.com/index/pdf/10.1007/978-3-540-72438-4_29"
"FAGERIA NK 2007 J. PLANT NUTR.","10.1080/01904160701289529","http://www.tandfonline.com/doi/pdf/10.1080/01904160701289529"
"RODRIGUEZ-ANON J 2007 J. THERM. ANAL. CALORIM.","10.1007/S10973-006-7844-3","http://www.springerlink.com/index/pdf/10.1007/s10973-006-7844-3"
"TURCZYNOWICZ LEONID 2007 J. TOXICOL. ENV. HEALTH PART A","10.1080/15287390701434711","http://www.tandfonline.com/doi/pdf/10.1080/15287390701434711"
"HARITASH ANILKUMAR 2007 ENVIRON. GEOL.","10.1007/S00254-006-0440-9","http://www.springerlink.com/index/pdf/10.1007/s00254-006-0440-9"
"MANDAL B 2007 GLOB. CHANGE BIOL.","10.1111/J.1365-2486.2006.01309.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2486.2006.01309.x"
"YADAV RK 2007 LAND DEGRAD. DEV.","10.1002/LDR.776","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fldr.776"
"GAIND SUNITA 2007 BIODEGRADATION","10.1007/S10532-006-9082-6","http://www.springerlink.com/index/pdf/10.1007/s10532-006-9082-6"
"BEHERA UK 2007 PLANT SOIL","10.1007/S11104-007-9332-3","http://www.springerlink.com/index/pdf/10.1007/s11104-007-9332-3"
"ROSARIO KARYNA 2007 J. ENVIRON. QUAL.","10.2134/JEQ2006.0315","https://dl.sciencesocieties.org/publications/jeq/pdfs/36/5/1249"
"KATSVAIRO TAWAINGAW 2007 J. SCI. FOOD AGRIC.","10.1002/JSFA.3002","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjsfa.3002"
"GHOSH SUBHADIP 2008 AUST. J. AGRIC. RES.","10.1071/AR08141","http://www.publish.csiro.au/AR/pdf/AR08141"
"RAINFORD CHERYL 2008 J. SOIL WATER CONSERV.","10.2489/JSWC.63.1.19A","https://syndication.highwire.org/content/doi/10.2489/jswc.63.1.19A"
"ASTHANA ALOK 2008 J. SUSTAIN. AGRIC.","10.1080/10440040802171044","http://www.tandfonline.com/doi/pdf/10.1080/10440040802171044"
"HOLTERMAN MARTIJN 2008 MOL. ECOL. RESOUR.","10.1111/J.1471-8286.2007.01963.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1471-8286.2007.01963.x"
"ABRAHAM JOSHUA 2008 PLANT SOIL","10.1007/S11104-007-9505-0","http://www.springerlink.com/index/pdf/10.1007/s11104-007-9505-0"
"KIBBLEWHITE MG 2008 PHILOS. TRANS. R. SOC. B-BIOL. SCI.","10.1098/RSTB.2007.2178","https://syndication.highwire.org/content/doi/10.1098/rstb.2007.2178"
"KESAVAN PC 2008 PHILOS. TRANS. R. SOC. B-BIOL. SCI.","10.1098/RSTB.2007.2189","https://syndication.highwire.org/content/doi/10.1098/rstb.2007.2189"
"VADREVU KRISHNAPRASAD 2008 ECOSYSTEMS","10.1007/S10021-007-9122-Z","http://www.springerlink.com/index/pdf/10.1007/s10021-007-9122-z"
"CHOWDHURY ASHIM 2008 INDIAN J. MICROBIOL.","10.1007/S12088-008-0011-8","http://www.springerlink.com/index/pdf/10.1007/s12088-008-0011-8"
"ZVOMUYA FRANCIS 2008 NUTR. CYCL. AGROECOSYST.","10.1007/S10705-007-9137-Z","http://www.springerlink.com/index/pdf/10.1007/s10705-007-9137-z"
"GOWING JW 2008 SOIL USE MANAGE.","10.1111/J.1475-2743.2007.00137.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1475-2743.2007.00137.x"
"GHORBANI R 2008 AGRON. SUSTAIN. DEV.","10.1051/AGRO:2008003","http://www.springerlink.com/index/pdf/10.1051/agro:2008003"
"KAPANEN ANU 2008 J. POLYM. ENVIRON.","10.1007/S10924-008-0091-X","http://www.springerlink.com/index/pdf/10.1007/s10924-008-0091-x"
"ROTARU A 2008 J. THERM. ANAL. CALORIM.","10.1007/S10973-007-8816-Y","http://www.springerlink.com/index/pdf/10.1007/s10973-007-8816-y"
"SHEN WEISHOU 2008 PLANT SOIL","10.1007/S11104-007-9472-5","http://www.springerlink.com/index/pdf/10.1007/s11104-007-9472-5"
"RYAN MEGANH 2008 J. SCI. FOOD AGRIC.","10.1002/JSFA.3200","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjsfa.3200"
"MAJUMDER BIDISHA 2008 SOIL SCI. SOC. AM. J.","10.2136/SSSAJ2006.0378","https://dl.sciencesocieties.org/publications/sssaj/pdfs/72/3/775"
"SEMENOV ALEXANDERV 2008 ENVIRON. MICROBIOL.","10.1111/J.1462-2920.2007.01558.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1462-2920.2007.01558.x"
"IDOWU OMOLOLUJ 2008 PLANT SOIL","10.1007/S11104-007-9521-0","http://link.springer.com/content/pdf/10.1007/s11104-007-9521-0"
"LINKER RAPHAEL 2008 PLANT SOIL","10.1007/S11104-008-9608-2","http://www.springerlink.com/index/pdf/10.1007/s11104-008-9608-2"
"MITTAL SHILPI 2008 BIOL. FERTIL. SOILS","10.1007/S00374-007-0264-0","http://www.springerlink.com/index/pdf/10.1007/s00374-007-0264-0"
"MANDAL BISWAPATI 2008 GLOB. CHANGE BIOL.","10.1111/J.1365-2486.2008.01627.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2486.2008.01627.x"
"VERMA VK 2008 PHOTONIRVACHAK-J. INDIAN SOC. REMOTE SENS.","10.1007/S12524-008-0028-9","http://www.springerlink.com/index/pdf/10.1007/s12524-008-0028-9"
"FANG H 2008 BULL. ENVIRON. CONTAM. TOXICOL.","10.1007/S00128-008-9514-6","http://www.springerlink.com/index/pdf/10.1007/s00128-008-9514-6"
"SELVI VETRIVELA 2008 ENVIRON. MONIT. ASSESS.","10.1007/S10661-007-0034-3","http://www.springerlink.com/index/pdf/10.1007/s10661-007-0034-3"
"HU CHENG 2008 EXP. AGRIC.","10.1017/S0014479708006716","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0014479708006716"
"DAS ANUP 2008 NUTR. CYCL. AGROECOSYST.","10.1007/S10705-008-9184-0","http://www.springerlink.com/index/pdf/10.1007/s10705-008-9184-0"
"EPELDE LUR 2009 SOIL BIOL.","10.1007/978-3-540-89621-0\_16","http://www.springerlink.com/index/pdf/10.1007/978-3-540-89621-0_16"
"MANICI LM 2009 ANN. APPL. BIOL.","10.1111/J.1744-7348.2009.00335.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1744-7348.2009.00335.x"
"KELLY B 2009 AUST. J. SOIL RES.","10.1071/SR08033","http://www.publish.csiro.au/SR/pdf/SR08033"
"MOREIRA A 2009 COMMUN. SOIL SCI. PLANT ANAL.","10.1080/00103620903175371","http://www.tandfonline.com/doi/pdf/10.1080/00103620903175371"
"BEHERA UK 2009 CROP PASTURE SCI.","10.1071/CP08220","http://www.publish.csiro.au/CP/pdf/CP08220"
"GARSIDE AL 2009 CROP PASTURE SCI.","10.1071/CP08311","http://www.publish.csiro.au/CP/pdf/CP08311"
"PALTRIDGE NICHOLAS 2009 CROP PASTURE SCI.","10.1071/CP08372","http://www.publish.csiro.au/CP/pdf/CP08372"
"MASTO REGINALDEBHIN 2009 ENVIRON. GEOL.","10.1007/S00254-008-1223-2","http://link.springer.com/content/pdf/10.1007/s00254-008-1223-2.pdf"
"DICKINSON NICHOLASM 2009 INT. J. PHYTOREMEDIAT.","10.1080/15226510802378368","http://www.tandfonline.com/doi/pdf/10.1080/15226510802378368"
"OGOKE IJ 2009 J. SUSTAIN. AGRIC.","10.1080/10440040903303405","http://www.tandfonline.com/doi/pdf/10.1080/10440040903303405"
"SABA NIHARENDU 2009 NA","10.1007/978-3-642-01979-1\_8","http://www.springerlink.com/index/pdf/10.1007/978-3-642-01979-1_8"
"ANDERSON RANDYL 2009 SUSTAIN. AGRIC. REV.","10.1007/978-1-4020-9654-9\_7","http://www.springerlink.com/index/pdf/10.1007/978-1-4020-9654-9_7"
"PORTER IAN 2009 PLANT PATHOL. 21ST CENT.","10.1007/978-1-4020-8804-9\_21","http://www.springerlink.com/index/pdf/10.1007/978-1-4020-8804-9_21"
"ELMER WADEH 2009 PLANT DIS.","10.1094/PDIS-93-2-0175","http://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS-93-2-0175"
"ROCHFORT SIMONEJ 2009 METABOLOMICS","10.1007/S11306-008-0140-4","http://www.springerlink.com/index/pdf/10.1007/s11306-008-0140-4"
"GIL SVARGAS 2009 WORLD J. MICROBIOL. BIOTECHNOL.","10.1007/S11274-008-9908-Y","http://www.springerlink.com/index/pdf/10.1007/s11274-008-9908-y"
"SHUKUROV NOSIR 2009 J. SOILS SEDIMENTS","10.1007/S11368-009-0079-8","http://www.springerlink.com/index/pdf/10.1007/s11368-009-0079-8"
"BAUM AARONW 2009 CRIT. REV. PLANT SCI.","10.1080/07352680902963915","http://www.tandfonline.com/doi/pdf/10.1080/07352680902963915"
"WILLIAMS PAMELARD 2009 ENVIRON. SCI. TECHNOL.","10.1021/ES900250D","http://pubs.acs.org/doi/pdf/10.1021/es900250d"
"VARGASGIL SILVINA 2009 ENVIRON. MANAGE.","10.1007/S00267-009-9319-3","http://www.springerlink.com/index/pdf/10.1007/s00267-009-9319-3"
"HUMMEL JEREMYD 2009 AGRON. J.","10.2134/AGRONJ2009.0032","https://dl.sciencesocieties.org/publications/aj/pdfs/101/5/1190"
"EPELDE LUR 2009 J. ENVIRON. QUAL.","10.2134/JEQ2009.0006","https://dl.sciencesocieties.org/publications/jeq/pdfs/38/5/2041"
"IDOWU OJ 2009 RENEW. AGR. FOOD SYST.","10.1017/S1742170509990068","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170509990068"
"HAZARIKA SAMARENDRA 2009 AGRON. SUSTAIN. DEV.","10.1051/AGRO/2009024","http://www.springerlink.com/index/pdf/10.1051/agro/2009024"
"KASSAM AMIR 2009 INT. J. AGRIC. SUSTAIN.","10.3763/IJAS.2009.0477","http://www.tandfonline.com/doi/pdf/10.3763/ijas.2009.0477"
"KO HYUN-SUN 2009 CURR. MICROBIOL.","10.1007/S00284-009-9481-0","http://www.springerlink.com/index/pdf/10.1007/s00284-009-9481-0"
"DOI RYOICHI 2009 J. BIOSCI.","10.1007/S12038-009-0111-6","http://www.springerlink.com/index/pdf/10.1007/s12038-009-0111-6"
"O'FARRELL PATRICKJ 2010 ARID LAND RES. MANAG.","10.1080/15324980903439263","http://www.tandfonline.com/doi/pdf/10.1080/15324980903439263"
"SHARMA SUSHILK 2010 SUSTAIN. AGRIC. REV.","10.1007/978-90-481-9513-8\_11","http://link.springer.com/content/pdf/10.1007/978-90-481-9513-8_11"
"JOHNSON DENNISA 2010 CAN. J. PLANT PATHOL.-REV. CAN. PHYTOPATHOL.","10.1080/07060661003621134","http://www.tandfonline.com/doi/pdf/10.1080/07060661003621134"
"KLEEMANN SGL 2010 CROP PASTURE SCI.","10.1071/CP10124","http://www.publish.csiro.au/CP/pdf/CP10124"
"SINGH NIRBHAYKUMAR 2010 SUSTAIN. AGRIC. REV.","10.1007/978-90-481-8741-6\_9","http://link.springer.com/content/pdf/10.1007/978-90-481-8741-6_9"
"DAS ANUP 2010 J. SUSTAIN. AGRIC.","10.1080/10440046.2010.484670","http://www.tandfonline.com/doi/pdf/10.1080/10440046.2010.484670"
"NGUYEN MINH-LONG 2010 NA","10.1007/978-90-481-8657-0\_4","http://link.springer.com/content/pdf/10.1007/978-90-481-8657-0_4"
"SAIKIA SIDDHARTHAPROTEEM 2010 NA","10.1007/978-3-211-99753-6\_16","http://link.springer.com/content/pdf/10.1007/978-3-211-99753-6_16"
"KHAN SARDAR 2010 ENVIRON. SCI. POLLUT. RES.","10.1007/S11356-009-0134-4","http://www.springerlink.com/index/pdf/10.1007/s11356-009-0134-4"
"VANZWIETEN L 2010 PLANT SOIL","10.1007/S11104-009-0050-X","http://www.springerlink.com/index/pdf/10.1007/s11104-009-0050-x"
"GAO YANG 2010 ENVIRON. EARTH SCI.","10.1007/S12665-009-0200-8","http://www.springerlink.com/index/pdf/10.1007/s12665-009-0200-8"
"DAS ANUP 2010 NUTR. CYCL. AGROECOSYST.","10.1007/S10705-009-9308-1","http://www.springerlink.com/index/pdf/10.1007/s10705-009-9308-1"
"SHARMA AR 2010 NUTR. CYCL. AGROECOSYST.","10.1007/S10705-009-9327-Y","http://www.springerlink.com/index/pdf/10.1007/s10705-009-9327-y"
"HE MIAOMIAO 2010 PHYTOPATHOLOGY","10.1094/PHYTO-100-6-0593","http://apsjournals.apsnet.org/doi/pdf/10.1094/PHYTO-100-6-0593"
"SOKOLOV MS 2010 EURASIAN SOIL SCI.","10.1134/S1064229310070112","http://www.springerlink.com/index/pdf/10.1134/S1064229310070112"
"ANDERSON RANDYL 2010 RENEW. AGR. FOOD SYST.","10.1017/S1742170510000256","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170510000256"
"VANDERZAAG PETER 2010 AM. J. POTATO RES.","10.1007/S12230-010-9161-4","http://www.springerlink.com/index/pdf/10.1007/s12230-010-9161-4"
"DATTA SIBAPRASAD 2010 J. PLANT NUTR. SOIL SCI.","10.1002/JPLN.200900010","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjpln.200900010"
"GIANINAZZI SILVIO 2010 MYCORRHIZA","10.1007/S00572-010-0333-3","http://link.springer.com/content/pdf/10.1007/s00572-010-0333-3"
"SUGIYAMA AKIFUMI 2010 PLANT DIS.","10.1094/PDIS-02-10-0090","http://apsjournals.apsnet.org/doi/pdf/10.1094/PDIS-02-10-0090"
"SINGH RAJEEVPRATAP 2010 REV. ENVIRON. SCI. BIO-TECHNOL.","10.1007/S11157-010-9218-3","http://www.springerlink.com/index/pdf/10.1007/s11157-010-9218-3"
"SEYEDBAGHERI MIR-M 2010 POTATO RES.","10.1007/S11540-010-9177-7","http://www.springerlink.com/index/pdf/10.1007/s11540-010-9177-7"
"AGELE SO 2011 ARCH. AGRON. SOIL SCI.","10.1080/03650340903225040","http://www.tandfonline.com/doi/pdf/10.1080/03650340903225040"
"KRUPENIKOV IGORIARCADIE 2011 NA","10.1007/978-94-007-0159-5\_1","http://link.springer.com/content/pdf/10.1007/978-94-007-0159-5_1"
"KRUPENIKOV IGORIARCADIE 2011 NA","10.1007/978-94-007-0159-5\_16","http://link.springer.com/content/pdf/10.1007/978-94-007-0159-5_16"
"KRUPENIKOV IGORIARCADIE 2011 NA","10.1007/978-94-007-0159-5\_17","http://link.springer.com/content/pdf/10.1007/978-94-007-0159-5_17"
"GHOSH SUBHADIP 2011 COMMUN. SOIL SCI. PLANT ANAL.","10.1080/00103624.2011.587576","http://www.tandfonline.com/doi/pdf/10.1080/00103624.2011.587576"
"BANERJEE ARNAB 2011 COMMUN. SOIL SCI. PLANT ANAL.","10.1080/00103624.2011.609256","http://www.tandfonline.com/doi/pdf/10.1080/00103624.2011.609256"
"LAXMINARAYANA K 2011 COMMUN. SOIL SCI. PLANT ANAL.","10.1080/00103624.2011.609259","http://www.tandfonline.com/doi/pdf/10.1080/00103624.2011.609259"
"BERRY SHAUNDAVID 2011 INT. J. PEST MANAGE.","10.1080/09670874.2011.621984","http://www.tandfonline.com/doi/pdf/10.1080/09670874.2011.621984"
"BARRUTIA O 2011 INT. J. PHYTOREMEDIAT.","10.1080/15226511003753946","http://www.tandfonline.com/doi/pdf/10.1080/15226511003753946"
"CHAN KWONGYIN 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_3","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_3"
"BIJAY-SINGH  2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_6","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_6"
"SHAHID SHABBIRA 2011 NA","10.1007/978-94-007-0519-7\_3","http://www.springerlink.com/index/pdf/10.1007/978-94-007-0519-7_3"
"CHOUDHARY OMPARKASH 2011 SUSTAIN. AGRIC. REV.","10.1007/978-94-007-0186-1\_10","http://www.springerlink.com/index/pdf/10.1007/978-94-007-0186-1_10"
"AHMAD IQBAL 2011 NA","10.1007/978-1-4419-7931-5\_1","http://www.springerlink.com/index/pdf/10.1007/978-1-4419-7931-5_1"
"DAS SHONKORKUMAR 2011 SOIL BIOL.","10.1007/978-3-642-14225-3\_2","http://link.springer.com/content/pdf/10.1007/978-3-642-14225-3_2"
"STIRLING GRAHAMR 2011 PROG. BIOL. CONTROL","10.1007/978-1-4020-9648-8\_1","http://www.springerlink.com/index/pdf/10.1007/978-1-4020-9648-8_1"
"NA  2011 SOIL BIOL.","10.1007/978-3-642-20256-8","http://link.springer.com/content/pdf/10.1007/978-3-642-20256-8"
"LAL RATTAN 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_1","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_1"
"ALLEN DIANEE 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_2","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_2"
"RENGEL ZDENKO 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_4","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_4"
"DALAL RAMC 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_5","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_5"
"MELE PM 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_8","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_8"
"MURPHY BRIANW 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_9","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_9"
"RAISON RJOHN 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_12","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_12"
"BANNING NATASHAC 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_13","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_13"
"STOCKDALE ELIZABETH 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_14","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_14"
"GEORGE BRENDANH 2011 SOIL BIOL.","10.1007/978-3-642-20256-8\_16","http://www.springerlink.com/index/pdf/10.1007/978-3-642-20256-8_16"
"OWENYA MARIETHAZ 2011 INT. J. AGRIC. SUSTAIN.","10.3763/IJAS.2010.0557","http://www.tandfonline.com/doi/pdf/10.3763/ijas.2010.0557"
"KHAN ZEYAUR 2011 INT. J. AGRIC. SUSTAIN.","10.3763/IJAS.2010.0558","http://www.tandfonline.com/doi/pdf/10.3763/ijas.2010.0558"
"CHAUHAN PUNEETSINGH 2011 J. BASIC MICROBIOL.","10.1002/JOBM.201000171","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fjobm.201000171"
"SMITH ADAMN 2011 WEED SCI.","10.1614/WS-D-10-00112.1","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0043174500020336"
"DUPREEZ CHRISC 2011 S. AFR. J. SCI.","10.4102/SAJS.V107I5/6.354","http://www.sajs.co.za/sites/default/files/publications/pdf/354-5273-5-PB.pdf"
"GHOSH S 2011 SOIL USE MANAGE.","10.1111/J.1475-2743.2011.00333.X","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1475-2743.2011.00333.x"
"LAL R 2011 J. SOIL WATER CONSERV.","10.2489/JSWC.66.4.276","https://syndication.highwire.org/content/doi/10.2489/jswc.66.4.276"
"BRAINARD DANIELC 2011 WEED TECHNOL.","10.1614/WT-D-10-00134.1","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0890037X00010800"
"WAKADIKAR KANCHAN 2011 ENVIRON. EARTH SCI.","10.1007/S12665-010-0812-Z","http://www.springerlink.com/index/pdf/10.1007/s12665-010-0812-z"
"GOPALAKRISHNAN GAYATHRI 2011 J. ENVIRON. QUAL.","10.2134/JEQ2010.0539","https://dl.sciencesocieties.org/publications/jeq/pdfs/40/5/1593"
"GATHALA MAHESHK 2011 SOIL SCI. SOC. AM. J.","10.2136/SSSAJ2010.0362","https://dl.sciencesocieties.org/publications/sssaj/pdfs/75/5/1851"
